CO2,Light(lux),Temp(C),Greenhouse
0.409,0.1071,0.1193,1
0.402,0.1071,0.1294,1
0.414,0.1071,0.1355,1
0.416,0.1071,0.1047,1
0.416,0.2178,0.1638,1
0.421,0.2178,0.1579,1
0.21,0.2178,0.1374,1
0.275,0.2178,0.1495,1
0.35,0.2404,0.1124,1
0.175,0.2404,0.1023,1
0.235,0.2404,0.0924,1
0.268,0.2404,0.0872,1
0.185,0.2099,0.1298,1
0.113,0.2099,0.1354,1
0.243,0.2099,0.1434,1
0.276,0.2099,0.1476,1
0.303,0.2099,0.1834,1
0.141,0.1518,0.1852,1
0.102,0.1518,0.1765,1
0.343,0.1518,0.1534,1
0.224,0.1518,0.1333,1
