CO2,tVOC,Humidity,Temp,Fire
0.465,0.009,0.4388,0.2312,0
0.459,0.008,0.4388,0.2312,0
0.459,0.008,0.439,0.2313,0
0.441,0.006,0.4392,0.2312,0
0.405,0,0.4394,0.2313,0
0.4,0,0.4397,0.2312,0
0.407,0.001,0.4401,0.2312,0
0.418,0.002,0.4404,0.2313,0
0.414,0.002,0.4409,0.2312,0
0.407,0.001,0.4409,0.2311,0
0.4,0,0.4413,0.2312,0
0.413,0.001,0.4417,0.2313,0
0.413,0.001,0.4418,0.2312,0
0.405,0,0.4421,0.2312,0
0.4,0,0.4424,0.2312,0
0.4,0,0.4428,0.2313,0
0.409,0.001,0.443,0.2313,0
0.409,0.001,0.4431,0.2313,0
0.409,0.001,0.4432,0.2312,0
0.409,0.001,0.4435,0.2313,0
0.409,0.001,0.4438,0.2312,0
0.409,0.001,0.4438,0.2312,0
0.409,0.001,0.444,0.2312,0
0.409,0.001,0.4441,0.2312,0
0.409,0.001,0.4444,0.2313,0
0.409,0.001,0.4444,0.2313,0
0.405,0,0.4445,0.2313,0
0.409,0.001,0.445,0.2312,0
0.405,0,0.4449,0.2313,0
0.405,0,0.445,0.2313,0
0.409,0.001,0.4451,0.2312,0
0.413,0.001,0.4451,0.2313,0
0.417,0.002,0.4452,0.2312,0
0.417,0.002,0.4454,0.2312,0
0.413,0.001,0.4452,0.2313,0
0.409,0.001,0.4455,0.2313,0
0.409,0.001,0.4455,0.2312,0
0.409,0.001,0.4454,0.2313,0
0.409,0.001,0.4456,0.2313,0
0.409,0.001,0.4459,0.2313,0
0.413,0.001,0.4458,0.2312,0
0.413,0.001,0.4458,0.2313,0
0.417,0.002,0.4459,0.2313,0
0.42,0.003,0.4459,0.2313,0
0.42,0.003,0.4458,0.2313,0
0.417,0.002,0.446,0.2313,0
0.42,0.003,0.4462,0.2313,0
0.42,0.003,0.4461,0.2313,0
0.42,0.003,0.4461,0.2313,0
0.417,0.002,0.4461,0.2313,0
0.417,0.002,0.4451,0.2314,0
0.413,0.001,0.446,0.2312,0
0.413,0.001,0.4461,0.2313,0
0.417,0.002,0.4459,0.2313,0
0.417,0.002,0.446,0.2313,0
0.417,0.002,0.4453,0.2313,0
0.426,0.003,0.4461,0.2314,0
0.426,0.003,0.446,0.2313,0
0.42,0.003,0.4459,0.2313,0
0.417,0.002,0.4461,0.2313,0
0.417,0.002,0.446,0.2313,0
0.417,0.002,0.446,0.2312,0
0.42,0.003,0.446,0.2313,0
0.42,0.003,0.446,0.2313,0
0.426,0.003,0.446,0.2313,0
